C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0.02,0,12,250,17,1.67,4,7.4
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0.02,0.44,12,250,17,1.67,4,1.4
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,4,14.9
0.07,0.67,1.5,0.031,0.01,16.97,11.92,2.23,0.02,0,0.02,0,12,250,17,1.67,4,10.3
0.026,0.84,1.56,0.025,0.006,17.12,12.6,2.2,0.02,0,0.02,0,12,250,17,1.67,4,6.8
0.06,0.64,1.22,0.025,0.008,18.36,9.66,0.04,0.02,0.78,0.02,0,12,250,17,1.67,4,5.4
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,0.5,0
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,0.5,1.05
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0.02,0.44,12,250,17,1.67,0.5,0
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,0.5,8.57
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,1,0
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0.02,0,12,250,17,1.67,1,2.84
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0.02,0.44,12,250,17,1.67,1,0
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,1,12.32
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,2,0
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0.02,0,12,250,17,1.67,2,3.03
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,2,5.68
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0.02,0.44,12,250,17,1.67,2,0.48
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,2.4,1.44
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0.02,0,12,250,17,1.67,2.4,5.39
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,2.4,10.01
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0.02,0.44,12,250,17,1.67,2.4,0.48
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,2.4,17.61
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,0.3,0
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,0.3,0
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.117,0,0.02,0,12,250,17,1.67,4,10.18
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.113,0,0.02,0,12,250,17,1.67,4,10.49
