C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.042,0.39,1.5,0.019,0.007,18.6,8,0.2,0.05,0,0.02,0,6.3,180,17,2.5,3.1,0.4
0.017,0.53,1.8,0.027,0.002,18.4,11.3,0.2,0.04,0,0.02,0,6.3,180,17,2.5,3.1,6.92
0.13,0.48,1.7,0.021,0.002,21.7,5.8,2.7,0.13,0,0.02,0,6.3,180,17,2.5,5,5.91
0.042,0.39,1.5,0.019,0.007,18.6,8,0.2,0.05,0,0.02,0,6.3,180,17,2.5,5,1.03
0.049,0.08,1.5,0.025,0.0024,14.9,16.62,2.1,0.006,0,0.028,0.25,4,80,10,1.33,3.2,6.6
0.05,0.56,1.47,0.025,0.0025,14.81,16.54,2.07,0.006,0,0.03,0.25,4,80,10,1.33,3.2,7.1
0.048,0.52,1.49,0.027,0.0021,14.83,16.65,2.11,0.006,0,0.03,0.005,4,80,10,1.33,3.2,5.8
0.05,0.52,1.48,0.027,0.0022,14.79,16.64,2.11,0.006,0,0.03,0.06,4,80,10,1.33,3.2,7.9
0.049,0.52,1.48,0.029,0.002,14.8,16.65,2.09,0.006,0,0.029,0.51,4,80,10,1.33,3.2,8.4
0.049,0.51,1.5,0.027,0.0014,14.92,16.8,2.16,0.006,0,0.029,0.27,4,80,10,1.33,3.2,5.5
0.15,0.53,1.5,0.027,0.0016,14.84,16.77,2.15,0.006,0,0.029,0.27,4,80,10,1.33,3.2,7.1
0.28,0.52,1.49,0.026,0.0018,14.84,16.68,2.15,0.006,0,0.027,0.26,4,80,10,1.33,3.2,11.1
0.052,0.71,1.49,0.027,0.0018,14.89,16.63,2.14,0.006,0,0.032,0.27,4,80,10,1.33,3.2,5.6
0.053,0.51,1.5,0.026,0.0014,15.02,16.65,2.14,0.006,0,0.034,0.006,4,80,10,1.33,3.2,4.7
0.051,0.5,1.5,0.026,0.0014,14.91,16.59,2.11,0.006,0,0.035,0.51,4,80,10,1.33,3.2,4.1
0.05,0.51,1.49,0.026,0.0014,14.86,16.6,2.11,0.006,0,0.037,0.8,4,80,10,1.33,3.2,6.6
0.059,0.51,1.51,0.027,0.0019,14.96,16.63,2.1,0.006,0,0.066,0.26,4,80,10,1.33,3.2,4.9
0.052,0.5,1.51,0.027,0.0017,14.95,16.7,2.12,0.006,0,0.29,0.27,4,80,10,1.33,3.2,8.1
0.051,0.5,1.51,0.026,0.0014,15.05,16.61,2.08,0.006,0,0.035,0.28,4,80,10,1.33,3.2,4.1
0.049,0.5,1.5,0.026,0.0015,15.1,16.68,2.09,0.006,0,0.039,0.28,4,80,10,1.33,3.2,9.7
0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0.025,0.35,3.175,100,12,4,4,9.4
0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0.032,0.36,3.175,100,12,4,4,8.32
0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0.06,0.31,3.175,100,12,4,2,5.89
0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0.025,0.35,3.175,100,12,4,2,10.41
0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0.025,0.35,3.175,100,12,4,1,5.6
0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0.032,0.36,3.175,100,12,4,1,7.45
0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0.06,0.31,3.175,100,12,4,0.5,2.49
0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0.025,0.35,3.175,100,12,4,0.5,8.3
0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0.025,0.35,3.175,100,12,4,0.25,4.08
0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0.032,0.36,3.175,100,12,4,0.25,1.65
0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0.09,0.29,3.175,100,12,4,4,7.29
0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0.079,0.34,3.175,100,12,4,2,8.39
0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0.079,0.34,3.175,100,12,4,1,6.01
0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0.09,0.29,3.175,100,12,4,1,3.68
0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0.079,0.34,3.175,100,12,4,0.5,7.68
0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0.09,0.29,3.175,100,12,4,0.5,2.87
0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0.02,0.23,3.175,100,12,4,4,7.18
0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0.02,0.23,3.175,100,12,4,2,5.42
0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0.02,0.23,3.175,100,12,4,1,3.86
0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0.02,0.23,3.175,100,12,4,0.5,3.63
0.009,0.08,5.2,0.005,0.006,21.3,12.4,2,0.3,0.23,0.02,0,3.2,50,8,1.69,2.3,3.64
0.04,0.02,6.2,0.005,0.006,23,11.3,2,0.32,0.24,0.02,0,3.2,50,8,1.69,2.3,4.86
0.009,0.08,5.2,0.005,0.006,21.3,12.4,2,0.3,0.23,0.02,0,3.2,50,8,1.69,1.4,1.79
0.038,0.25,6.5,0.009,0.004,22.7,11,2.2,0.32,0.01,0.02,0,3.2,50,8,1.69,1.4,0.01
0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,1.08,0,6.35,180,12,2.54,3,2.04
0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,1.08,0,6.35,180,12,2.54,2,0.47
0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,1.08,0,6.35,180,12,2.54,1.5,0
0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,1.08,0,6.35,180,12,2.54,0.5,0
0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0.02,0,6.35,180,12,2.54,2,4.94
0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0.02,0,6.35,180,12,2.54,1.5,1.79
0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0.02,0,6.35,180,12,2.54,1,0.84
0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0.02,0,6.35,180,12,2.54,3,6.95
0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0.02,0,6.35,180,12,2.54,1,1.11
0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0.02,0,6.35,180,12,2.54,3,2.59
0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0.02,0,6.35,180,12,2.54,2,0.41
0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0.02,0,6.35,180,12,2.54,1.5,0
0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0.02,0,6.35,180,12,2.54,0.5,0
0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0.02,0,6.35,180,12,2.54,1.5,8.87
0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0.02,0,6.35,180,12,2.54,0.5,1.75
0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0.026,0,5,300,14,4.45,3.2,8.36
0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0.029,0,5,300,14,4.45,3.2,1.56
0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0.026,0,5,300,14,4.45,1.6,4.06
0.001,0.26,0.005,0.02,0.02,26.4,0.13,1,0.011,0,0.005,0,5,300,14,4.45,1.6,0.2
0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0.029,0,5,300,14,4.45,1.6,0.34
0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0.029,0,5,300,14,4.45,0.8,0.16
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.4,180,17,2.53,1,0.41
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.4,180,17,2.53,1.5,0.76
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.4,180,17,2.53,2.1,3
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.4,180,17,2.53,5,10.44
0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0.02,0,6.4,180,17,2.53,1.5,0.41
0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0.02,0,6.4,180,17,2.53,2.1,2.42
0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0.02,0,6.4,180,17,2.53,3.1,5.57
0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0.02,0,6.4,180,17,2.53,0.5,0
0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0.02,0,6.4,180,17,2.53,1,0
0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0.02,0,6.4,180,17,2.53,2.1,0.72
0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0.02,0,6.4,180,17,2.53,5,7.1
0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0.02,0,6.4,180,17,2.53,1,0
0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0.02,0,6.4,180,17,2.53,2.1,1.18
0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0.02,0,6.4,180,17,2.53,3.1,2.23
0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0.02,0,6.4,180,17,2.53,5,5.98
0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0.02,0,6.4,180,17,2.53,2.1,8.92
0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0.02,0,6.4,180,17,2.53,3.1,11.86
0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0.02,0,6.4,180,17,2.53,0.5,0
0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0.02,0,6.4,180,17,2.53,1,0
0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0.02,0,6.4,180,17,2.53,3.1,2.65
0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0.02,0,6.4,180,17,2.53,5,5.55
0.013,0.18,1.47,0.002,0.013,24.43,23.04,0,0.02,0.15,0.02,0,5,70,16,1.25,1.2,0.78
0.015,0.19,1.46,0.003,0.013,24.34,22.89,0,0.02,0.24,0.02,0,5,70,16,1.25,1.2,1.3
0.013,0.22,1.49,0.003,0.013,23.65,22.51,0,0.02,0.41,0.02,0,5,70,16,1.25,1.2,3.93
0.012,0.2,1.4,0.002,0.013,22.27,22.41,0,0.02,0.52,0.02,0,5,70,16,1.25,1.2,3.32
0.015,0.21,1.5,0.003,0.013,24.35,22.99,0,0.02,0.73,0.02,0,5,70,16,1.25,1.2,3.38
0.016,0.19,1.43,0.003,0.012,24.15,22.69,0,0.02,0.94,0.02,0,5,70,16,1.25,1.2,4.4
0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0.02,0,5,70,16,1.25,1.2,0.42
0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0.02,0,5,70,16,1.25,1.2,0.53
0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0.02,0,5,70,16,1.25,2.5,1
0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0.02,0,5,70,16,1.25,2.5,1.1
0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0.02,0,5,70,16,1.25,5,3.17
0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0.02,0,5,70,16,1.25,1.2,0.41
0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0.02,0,5,70,16,1.25,2.5,3
0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0.02,0,5,70,16,1.25,5,6
0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0.02,0,5,70,16,1.25,1.2,3.7
0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0.02,0,5,70,16,1.25,2.5,5.1
0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0.02,0,5,70,16,1.25,5,7.3
0.016,0.36,1.69,0.025,0.007,18,11.1,0,0.043,0.29,0.02,0,5,70,16,1.25,1.2,2
0.018,0.35,1.7,0.025,0.007,18,11.2,0,0.08,0.3,0.02,0,5,70,16,1.25,1.2,6.3
0.0054,0.18,1.48,0.005,0.003,18.77,9.69,0,0.0237,0.26,0.02,0,5,70,16,1.25,2.5,0
0.0049,0.18,1.47,0.004,0.003,18.61,9.72,0,0.0218,0.53,0.02,0,5,70,16,1.25,2.5,0.14
0.0058,0.19,1.49,0.004,0.002,18.67,9.76,0,0.0221,0.78,0.02,0,5,70,16,1.25,2.5,0.44
0.0049,0.18,1.47,0.004,0.003,18.61,9.72,0,0.0218,0.53,0.02,0,5,70,16,1.25,5,2.94
0.0058,0.19,1.49,0.004,0.002,18.67,9.76,0,0.0221,0.78,0.02,0,5,70,16,1.25,5,4.84
0.0054,0.18,1.43,0.005,0.003,18.57,9.63,0,0.0243,1.18,0.02,0,5,70,16,1.25,5,6.04
0.02,0.2,1.56,0.005,0.003,18.46,10,0,0.0223,0.23,0.02,0,5,70,16,1.25,2.4,0
0.024,0.2,1.48,0.004,0.003,18.81,9.35,0,0.0461,0.25,0.02,0,5,70,16,1.25,2.4,0
0.022,0.2,1.52,0.005,0.003,18.88,9.31,0,0.0932,0.25,0.02,0,5,70,16,1.25,2.4,0
0.02,0.2,1.56,0.005,0.003,18.46,10,0,0.0223,0.23,0.02,0,5,70,16,1.25,5,1.11
0.018,0.2,1.47,0.004,0.003,18.68,10,0,0.0315,0.25,0.02,0,5,70,16,1.25,5,1.06
0.022,0.2,1.52,0.005,0.003,18.88,9.31,0,0.0932,0.25,0.02,0,5,70,16,1.25,5,1.83
0.029,0.2,1.46,0.005,0.003,20.22,9.28,0,0.133,0.25,0.02,0,5,70,16,1.25,5,1.65
0.015,0.35,1.61,0.008,0.004,18,9.9,0,0.022,0.29,0.02,0,5,70,16,1.25,1.2,0
0.015,0.34,1.61,0.004,0.004,17.6,10,0,0.049,0.29,0.02,0,5,70,16,1.25,1.2,0
0.016,0.34,1.76,0.024,0.008,17.9,9.9,0,0.045,0.28,0.02,0,5,70,16,1.25,1.2,0.18
0.014,0.35,1.67,0.027,0.007,17.7,9.7,0,0.047,0.28,0.02,0,5,70,16,1.25,1.2,0
0.014,0.33,1.73,0.026,0.007,17.9,9.5,0,0.046,0.3,0.02,0,5,70,16,1.25,1.2,0.24
0.05,0.75,0.94,0.026,0.007,18.3,9.4,0,0.016,0,0.02,0,5,70,16,1.25,1.2,0
0.01,0.48,1.61,0.024,0.019,17.33,10.62,2.09,0.06,0,0.02,0,3.18,100,12,4.23,4,1.5
0.006,0.51,1.71,0.021,0.001,17.35,13.02,2.49,0.096,0,0.02,0,3.18,100,12,4.23,4,3.1
0.015,0.54,1.43,0.026,0.008,18.19,9.17,0.29,0.078,0,0.02,0,3.18,100,12,4.23,4,0.6
0.035,0.25,1.65,0.029,0.005,18.05,10.75,0,0.017,0.41,0.02,0,3.18,100,12,4.23,4,1.8
0.04,0.33,3.12,0.016,0.012,17.64,13.8,2.15,0.078,0.01,0.02,0,3.18,100,12,4.23,4,4
0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0.02,0,3.18,100,12,4.23,1,0.25
0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.023,0.02,3.18,100,12,4.23,4,8.44
0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0.036,0.12,3.18,100,12,4.23,1,3.93
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0.02,0,12,250,17,1.67,0.5,0
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,1,6.69
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,2,15.11
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,0.3,6.06
0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0.004,0,3.18,100,12,4.2,0.5,1.12
0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0.002,0,3.18,100,12,4.2,1.75,7.56
0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0.004,0,3.18,100,12,4.2,3.75,6.41
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,0.5,0
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,2.5,1.66
0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0.02,0.29,3,100,12.5,4.2,0.5,3.2
0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0.02,0.25,3,100,12.5,4.2,4,11.5
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,4,5.6
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,120,13,2.3,0.5,8.85
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,120,13,2.3,1,15.41
0.008,0.41,0.38,0.018,0.003,17.84,0.21,0,0.0089,0,0.024,0.4,4,100,10,2.5,0.8,0.1
0.008,0.41,0.38,0.018,0.003,17.84,0.21,0,0.0089,0,0.024,0.4,4,100,10,2.5,4,3.2
0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0.4,0.49,6.5,170,14,2.55,2,8.84
0.017,0.35,2.92,0.007,0.003,25,10.7,0,0.318,0,0.02,0,5,70,16,1.25,2.4,0.2
0.012,0.3,2.66,0.004,0.002,24,20.3,0,0.133,0,0.02,0,5,70,16,1.25,2.4,1.7
0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0.02,0,12.7,325,14.5,1.69,0.25,0
0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0.02,0,12.7,330,14,1.69,0.5,0
0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0.02,0,12.7,300,15,1.69,1,0.75
0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0.02,0,12.7,325,14.5,1.69,1,5.26
0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0.02,0,12.7,330,14,1.69,2,0
0.048,0.54,1.47,0.026,0.0023,14.78,16.64,2.09,0.006,0,0.007,0.23,4,80,10,1.33,3.2,11.2
0.049,1.04,1.49,0.028,0.0016,14.89,16.59,2.13,0.006,0,0.032,0.27,4,80,10,1.33,3.2,5.2
0.051,0.51,1.51,0.028,0.0017,15.09,16.64,2.12,0.006,0,0.035,0.28,4,80,10,1.33,3.2,8.3
0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0.06,0.31,3.175,100,12,4,1,3.36
0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0.079,0.34,3.175,100,12,4,0.25,6
0.038,0.25,6.5,0.009,0.004,22.7,11,2.2,0.32,0.01,0.02,0,3.2,50,8,1.69,2.5,0
0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,1.08,0,6.35,180,12,2.54,1,0
0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0.02,0,6.35,180,12,2.54,1.5,0.51
0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0.026,0,5,300,14,4.45,0.8,1.73
0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0.02,0,6.4,180,17,2.53,1,0.34
0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0.02,0,6.4,180,17,2.53,3.1,3.58
0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0.02,0,6.4,180,17,2.53,1,6.23
0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0.02,0,5,70,16,1.25,0.5,0
0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0.02,0,5,70,16,1.25,0.5,0
0.015,0.38,1.74,0.018,0.008,17.5,11.4,0,0.03,0.3,0.02,0,5,70,16,1.25,1.2,0
0.0054,0.18,1.48,0.005,0.003,18.77,9.69,0,0.0237,0.26,0.02,0,5,70,16,1.25,5,0.75
0.014,0.33,1.62,0.003,0.004,17.9,9.8,0,0.048,0.29,0.02,0,5,70,16,1.25,1.2,0.22
