C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.018,0.5,1.49,0.029,0.011,18.26,9.01,0.37,0.075,0.49,0.02,0,3.18,100,12,4.23,4,2
0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0.02,0,3.18,100,12,4.23,2,3.5
0.07,0.67,1.56,0.02,0.003,18.54,8.64,0,0.02,0,0.02,0,12,250,17,1.67,4,0.5
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0.02,0,12,250,17,1.67,2.4,1
0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0.004,0,3.18,100,12,4.2,0.5,0.7
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,0.5,0
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,3.5,1.38
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.3,0.25,0
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.7,2,17.05
0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0.19,0.42,6.5,170,14,2.55,1.5,13.61
0.012,0.3,2.66,0.004,0.002,25,20,0,0.368,0,0.02,0,5,70,16,1.25,2.4,1.5
0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0.02,0,12.7,330,13.5,1.69,0.5,0
0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0.02,0,12.7,310,14.5,1.69,2,3.88
0.051,0.12,1.5,0.028,0.0017,14.96,16.76,2.16,0.006,0,0.033,0.27,4,80,10,1.33,3.2,4.4
0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0.032,0.36,3.175,100,12,4,0.5,2.28
0.04,0.02,6.2,0.005,0.006,23,11.3,2,0.32,0.24,0.02,0,3.2,50,8,1.69,1.4,1.84
0.001,0.26,0.005,0.02,0.02,26.4,0.13,1,0.011,0,0.005,0,5,300,14,4.45,3.2,0.32
0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0.02,0,6.4,180,17,2.53,0.5,0
0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0.02,0,5,70,16,1.25,0.5,0
0.0054,0.18,1.43,0.005,0.003,18.57,9.63,0,0.0243,1.18,0.02,0,5,70,16,1.25,2.5,0.41
0.07,0.66,1.01,0.02,0.006,16.7,12.4,2.38,0.02,0,0.02,0,5,70,16,1.25,1.2,1.47
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,1,0.26
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.3,180,17,2.5,5,7.93
0.029,0.2,1.46,0.005,0.003,20.22,9.28,0,0.133,0.25,0.02,0,5,70,16,1.25,2.4,0
